Timestamp,starlink_download
2024/07/23 00:04:10,86.87
2024/07/23 00:09:10,61.93
2024/07/23 00:14:10,95.34
2024/07/23 00:19:10,65.68
2024/07/23 00:24:10,73.99
2024/07/23 00:29:10,207.91
2024/07/23 00:34:10,53.4
2024/07/23 00:39:10,167.38
2024/07/23 00:44:10,76.43
2024/07/23 00:49:10,72.57
2024/07/23 00:54:10,77.78
2024/07/23 00:59:10,172.01
2024/07/23 01:04:10,188.39
2024/07/23 01:09:10,218.7
2024/07/23 01:14:10,93.56
2024/07/23 01:19:10,75.69
2024/07/23 01:24:10,202.68
2024/07/23 01:29:10,126.74
2024/07/23 01:34:10,63.65
2024/07/23 01:39:10,62.28
2024/07/23 01:44:10,118.98
2024/07/23 01:49:10,86.97
2024/07/23 01:54:10,146.45
2024/07/23 01:59:10,235.26
2024/07/23 02:04:10,166.64
2024/07/23 02:09:10,106.28
2024/07/23 02:14:10,118.5
2024/07/23 02:19:10,89.31
2024/07/23 02:24:10,81.37
2024/07/23 02:29:10,165.64
2024/07/23 02:34:10,164.49
2024/07/23 02:39:10,201.18
2024/07/23 02:44:10,122.56
2024/07/23 02:49:10,54.23
2024/07/23 02:54:10,74.66
2024/07/23 02:59:10,160.06
2024/07/23 03:04:10,97.23
2024/07/23 03:09:10,42.11
2024/07/23 03:14:10,328.18
2024/07/23 03:19:10,81.65
2024/07/23 03:24:10,107.62
2024/07/23 03:29:10,98.88
2024/07/23 03:34:10,153.99
2024/07/23 03:39:10,120.18
2024/07/23 03:44:10,81
2024/07/23 03:49:10,104.01
2024/07/23 03:54:10,51.29
2024/07/23 03:59:10,21.35
2024/07/23 04:04:10,-1
2024/07/23 04:09:10,-1
2024/07/23 04:14:10,158.64
2024/07/23 04:19:10,40.53
2024/07/23 04:24:10,48.1
2024/07/23 04:29:10,69.44
2024/07/23 04:34:10,137.72
2024/07/23 04:39:10,54.85
2024/07/23 04:44:10,36.47
2024/07/23 04:49:10,164.2
2024/07/23 04:54:10,46.67
2024/07/23 04:59:10,53.39
2024/07/23 05:04:10,65.38
2024/07/23 05:09:10,101.28
2024/07/23 05:14:10,66.96
2024/07/23 05:19:10,120.92
2024/07/23 05:24:10,104.51
2024/07/23 05:29:10,178.73
2024/07/23 05:34:10,102.49
2024/07/23 05:39:10,84.64
2024/07/23 05:44:10,169.54
2024/07/23 05:49:10,85.47
2024/07/23 05:54:10,159.67
2024/07/23 05:59:10,280.4
2024/07/23 06:04:10,54.92
2024/07/23 06:09:10,97.08
2024/07/23 06:14:10,86.71
2024/07/23 06:19:10,161.58
2024/07/23 06:24:10,89.95
2024/07/23 06:29:10,77.96
2024/07/23 06:34:10,93.93
2024/07/23 06:39:10,90.66
2024/07/23 06:44:10,17.75
2024/07/23 06:49:10,121.66
