Time,Value
2024/07/18 00:00:41,5.26
2024/07/18 00:05:41,7.29
2024/07/18 00:10:41,3.25
2024/07/18 00:15:41,1.22
2024/07/18 00:20:41,7.84
2024/07/18 00:25:40,7.11
2024/07/18 00:30:40,4.15
2024/07/18 00:35:40,6.53
2024/07/18 00:40:40,3.94
2024/07/18 00:45:40,5.98
2024/07/18 00:50:40,6.02
2024/07/18 00:55:40,1.71
2024/07/18 01:00:40,4.87
2024/07/18 01:05:40,4.26
2024/07/18 01:10:40,4.15
2024/07/18 01:15:40,4.83
2024/07/18 01:20:40,3.03
2024/07/18 01:25:40,3.8
2024/07/18 01:30:40,7.27
2024/07/18 01:35:40,5.13
2024/07/18 01:40:40,6.18
2024/07/18 01:45:40,4.07
2024/07/18 01:50:40,1.61
2024/07/18 01:55:40,5.57
2024/07/18 02:00:40,5.16
2024/07/18 02:05:40,3.9
2024/07/18 02:10:40,3.38
2024/07/18 02:15:40,7.08
2024/07/18 02:20:40,5.77
2024/07/18 02:25:40,6.17
2024/07/18 02:30:40,5.13
2024/07/18 02:35:40,5.39
2024/07/18 02:40:40,7.08
2024/07/18 02:45:40,7.67
2024/07/18 02:50:40,4.58
2024/07/18 02:55:40,4.04
2024/07/18 03:00:40,5.81
2024/07/18 03:05:40,2.57
2024/07/18 03:10:40,4.2
2024/07/18 03:15:40,6.84
2024/07/18 03:20:40,5.16
2024/07/18 03:25:40,7.5
2024/07/18 03:30:40,4.36
2024/07/18 03:35:40,3.83
2024/07/18 03:40:40,3.53
2024/07/18 03:45:40,3.47
2024/07/18 03:50:40,3.42
2024/07/18 03:55:40,5.71
2024/07/18 04:00:40,6.82
2024/07/18 04:05:40,3.49
2024/07/18 04:10:40,4.94
2024/07/18 04:15:40,5.79
2024/07/18 04:20:40,5.47
2024/07/18 04:25:40,4.94
2024/07/18 04:30:40,4.85
2024/07/18 04:35:40,5.64
2024/07/18 04:40:40,3.57
2024/07/18 04:45:40,5.4
2024/07/18 04:50:40,8.51
2024/07/18 04:55:40,4.76
2024/07/18 05:00:40,4.88
2024/07/18 05:05:40,2.79
2024/07/18 05:10:40,4.16
2024/07/18 05:15:40,7.55
2024/07/18 05:20:40,5.5
2024/07/18 05:25:40,5.52
2024/07/18 05:30:40,5.15
2024/07/18 05:35:40,1.63
2024/07/18 05:40:40,6.07
2024/07/18 05:45:40,4.73
2024/07/18 05:50:40,3.56
2024/07/18 05:55:40,5.3
2024/07/18 06:00:40,4.98
2024/07/18 06:05:40,4.9
2024/07/18 06:10:40,4.65
2024/07/18 06:15:40,3.41
2024/07/18 06:20:40,3.71
2024/07/18 06:25:40,6.19
2024/07/18 06:30:40,8.13
2024/07/18 06:35:40,4.78
2024/07/18 06:40:40,4.02
2024/07/18 06:45:40,6.2
2024/07/18 06:50:39,1.27
2024/07/18 06:55:39,3.83
2024/07/18 07:00:39,4.65
2024/07/18 07:05:39,2.95
2024/07/18 07:10:39,3
2024/07/18 07:15:39,3.69
2024/07/18 07:20:39,4.88
2024/07/18 07:25:39,3.77
2024/07/18 07:30:39,3.64
2024/07/18 07:35:39,4.1
2024/07/18 07:40:39,4.98
2024/07/18 07:45:39,4.04
2024/07/18 07:50:39,6.17
2024/07/18 07:55:39,4.51
2024/07/18 08:00:39,4.62
2024/07/18 08:05:39,5.04
2024/07/18 08:10:39,3.71
2024/07/18 08:15:39,5.18
2024/07/18 08:20:39,3.13
2024/07/18 08:25:39,1.37
2024/07/18 08:30:39,2.8
2024/07/18 08:35:39,4.05
2024/07/18 08:40:39,6.16
2024/07/18 08:45:39,8.09
2024/07/18 08:50:39,4.34
2024/07/18 08:55:39,3.01
2024/07/18 09:00:39,3.59
2024/07/18 09:05:39,2.71
2024/07/18 09:10:39,4.3
2024/07/18 09:15:39,3.21
2024/07/18 09:20:39,4.1
2024/07/18 09:25:39,3.4
2024/07/18 09:30:39,4.44
2024/07/18 09:35:39,5.09
2024/07/18 09:40:39,3.06
2024/07/18 09:45:39,3.59
2024/07/18 09:50:39,1.96
2024/07/18 09:55:39,5.42
2024/07/18 10:00:39,1.41
2024/07/18 10:05:39,4.48
2024/07/18 10:10:39,3.21
2024/07/18 10:15:39,5.68
2024/07/18 10:20:39,3.15
2024/07/18 10:25:39,4.27
2024/07/18 10:30:39,2.92
2024/07/18 10:35:38,3.51
2024/07/18 10:40:38,5.96
2024/07/18 10:45:38,2.84
2024/07/18 10:50:38,3.02
2024/07/18 10:55:38,2.42
2024/07/18 11:00:38,10.12
2024/07/18 11:05:38,3.67
2024/07/18 11:10:38,6.08
2024/07/18 11:15:38,4.02
2024/07/18 11:20:38,4.7
2024/07/18 11:25:38,3.63
2024/07/18 11:30:38,3.36
2024/07/18 11:35:38,2.66
2024/07/18 11:40:38,2.77
2024/07/18 11:45:38,2.95
2024/07/18 11:50:38,4.38
2024/07/18 11:55:38,4.97
2024/07/18 12:00:38,3.67
2024/07/18 12:05:37,3.62
2024/07/18 12:10:37,2.57
2024/07/18 12:15:37,4.94
2024/07/18 12:20:37,5.75
2024/07/18 12:25:37,5.41
2024/07/18 12:30:37,2.98
2024/07/18 12:35:37,3.85
2024/07/18 12:40:37,6.11
2024/07/18 12:45:36,6.57
2024/07/18 12:50:36,3.95
2024/07/18 12:55:36,3.87
2024/07/18 13:00:36,3.98
2024/07/18 13:05:36,7.19
2024/07/18 13:10:36,5.24
2024/07/18 13:15:36,6.87
2024/07/18 13:20:36,4.4
2024/07/18 13:25:36,5.03
2024/07/18 13:30:36,3.6
2024/07/18 13:35:36,3.64
2024/07/18 13:40:36,4.32
2024/07/18 13:45:36,4.24
2024/07/18 13:50:36,7.98
2024/07/18 13:55:36,5.19
2024/07/18 14:00:36,2.17
2024/07/18 14:05:36,3.39
2024/07/18 14:10:36,4.14
2024/07/18 14:15:36,5.19
2024/07/18 14:20:36,2.83
2024/07/18 14:25:36,1.54
2024/07/18 14:30:36,3.67
2024/07/18 14:35:36,6.39
2024/07/18 14:40:36,0.94
2024/07/18 14:45:36,3.83
2024/07/18 14:50:36,7.68
2024/07/18 14:55:36,4.79
2024/07/18 15:00:36,3.01
2024/07/18 15:05:36,0.95
2024/07/18 15:10:35,1.58
2024/07/18 15:15:35,2.77
2024/07/18 15:20:34,4.21
2024/07/18 15:25:34,5.86
2024/07/18 15:30:34,2.18
2024/07/18 15:35:34,2.65
2024/07/18 15:40:34,3.48
2024/07/18 15:45:34,2.1
2024/07/18 15:50:34,2.85
2024/07/18 15:55:34,3.58
2024/07/18 16:00:34,2.18
2024/07/18 16:05:33,5.25
2024/07/18 16:10:33,3.88
2024/07/18 16:15:33,3.31
2024/07/18 16:20:33,5.5
2024/07/18 16:25:33,3.76
2024/07/18 16:30:33,3.94
2024/07/18 16:35:33,6
2024/07/18 16:40:33,2.71
2024/07/18 16:45:33,5.93
2024/07/18 16:50:33,3.71
2024/07/18 16:55:33,4.37
2024/07/18 17:00:33,3.51
2024/07/18 17:05:33,3.67
2024/07/18 17:10:33,4.06
2024/07/18 17:15:33,5.7
2024/07/18 17:20:33,2.85
2024/07/18 17:25:33,4.6
2024/07/18 17:30:33,4.95
2024/07/18 17:35:33,2.69
2024/07/18 17:40:33,4.13
2024/07/18 17:45:33,5.34
2024/07/18 17:50:33,6.02
2024/07/18 17:55:33,2.75
2024/07/18 18:00:33,7.67
2024/07/18 18:05:33,3.07
2024/07/18 18:10:33,5.31
2024/07/18 18:15:33,3.1
2024/07/18 18:20:33,2.67
2024/07/18 18:25:33,2.89
2024/07/18 18:30:33,5.48
2024/07/18 18:35:33,3.92
2024/07/18 18:40:33,3.08
2024/07/18 18:45:33,4.01
2024/07/18 18:50:33,2.15
2024/07/18 18:55:33,6.22
2024/07/18 19:00:33,5.31
2024/07/18 19:05:33,4.11
2024/07/18 19:10:33,4.26
2024/07/18 19:15:33,2.11
2024/07/18 19:20:33,5.76
2024/07/18 19:25:33,2.26
2024/07/18 19:30:33,3.07
2024/07/18 19:35:33,2.76
2024/07/18 19:40:33,7.24
2024/07/18 19:45:33,1.05
2024/07/18 19:50:33,6.93
2024/07/18 19:55:33,2.31
2024/07/18 20:00:33,2.75
2024/07/18 20:05:33,2.86
2024/07/18 20:10:33,3.84
2024/07/18 20:15:33,2.8
2024/07/18 20:20:33,5.35
2024/07/18 20:25:33,7.3
2024/07/18 20:30:33,2.8
2024/07/18 20:35:33,2.31
2024/07/18 20:40:33,4.39
2024/07/18 20:45:33,4.7
2024/07/18 20:50:33,3.82
2024/07/18 20:55:33,4.94
2024/07/18 21:00:33,5.09
2024/07/18 21:05:33,2.29
2024/07/18 21:10:33,2.15
2024/07/18 21:15:33,4.48
2024/07/18 21:20:33,6.98
2024/07/18 21:25:33,6.02
2024/07/18 21:30:33,5.05
2024/07/18 21:35:33,3.43
2024/07/18 21:40:33,4.31
2024/07/18 21:45:33,5.56
2024/07/18 21:50:33,4.65
2024/07/18 21:55:33,2.49
2024/07/18 22:00:33,4.09
2024/07/18 22:05:33,4.81
2024/07/18 22:10:33,3.74
2024/07/18 22:15:33,5.02
2024/07/18 22:20:33,4.12
2024/07/18 22:25:33,7.31
2024/07/18 22:30:33,1.75
2024/07/18 22:35:33,1.84
2024/07/18 22:40:33,5.22
2024/07/18 22:45:32,7.07
2024/07/18 22:50:32,3.17
2024/07/18 22:55:31,4.31
2024/07/18 23:00:31,2.66
2024/07/18 23:05:31,6.26
2024/07/18 23:10:31,5.02
2024/07/18 23:15:31,2.45
2024/07/18 23:20:31,5.78
2024/07/18 23:25:31,2.94
2024/07/18 23:30:31,6.41
2024/07/18 23:35:31,6.03
2024/07/18 23:40:31,6.76
2024/07/18 23:49:28,201.94
2024/07/18 23:54:28,111.98
2024/07/18 23:59:28,130.31
2024/08/18 14:41:44,163.66
2024/08/18 14:46:44,107.38
2024/08/18 14:51:44,50
2024/08/18 14:56:44,70.33
2024/08/18 15:01:44,186.55
2024/08/18 15:06:44,36.18
2024/08/18 15:11:44,38.81
2024/08/18 15:16:44,70.89
2024/08/18 15:21:44,271.24
2024/08/18 15:26:44,45.5
2024/08/18 15:31:44,92.32
2024/08/18 15:36:44,41.45
2024/08/18 15:41:44,91.54
2024/08/18 15:46:44,116.45
2024/08/18 15:51:44,55.68
2024/08/18 15:56:44,187.14
2024/08/18 16:01:44,78.56
2024/08/18 16:06:44,54.68
2024/08/18 16:11:44,211.74
2024/08/18 16:16:43,53.95
2024/08/18 16:21:43,15.31
2024/08/18 16:26:43,174.43
2024/08/18 16:31:43,59.85
2024/08/18 16:36:43,25.6
2024/08/18 16:41:43,69.59
2024/08/18 16:46:43,89
2024/08/18 16:51:43,34.36
2024/08/18 16:56:43,52.75
2024/08/18 17:01:43,55.23
2024/08/18 17:06:43,246.68
2024/08/18 17:11:43,31.07
2024/08/18 17:16:43,109.77
2024/08/18 17:21:43,-1
2024/08/18 17:26:43,-1
2024/08/18 17:31:43,56.07
2024/08/18 17:36:43,5.54
2024/08/18 17:41:43,123.22
2024/08/18 17:46:43,12.9
2024/08/18 17:51:43,12.06
2024/08/18 17:56:43,33.65
2024/08/18 18:01:43,4.39
2024/08/18 18:06:43,11.54
2024/08/18 18:11:43,61.26
2024/08/18 18:16:43,19.83
2024/08/18 18:21:43,32.1
2024/08/18 18:26:43,14.4
2024/08/18 18:31:43,21.38
2024/08/18 18:36:43,28.44
2024/08/18 18:41:43,39.07
2024/08/18 18:46:43,82.27
2024/08/18 18:51:43,55.65
2024/08/18 18:56:43,35.83
2024/08/18 19:01:43,297.34
2024/08/18 19:06:43,21.11
2024/08/18 19:11:43,42.1
2024/08/18 19:16:43,129
2024/08/18 19:21:43,80.81
2024/08/18 19:26:43,84.91
2024/08/18 19:31:43,100.51
2024/08/18 19:36:43,14.38
2024/08/18 19:41:43,59.42
2024/08/18 19:46:43,81.3
2024/08/18 19:51:43,80.18
2024/08/18 19:56:43,9.75
2024/08/18 20:01:43,140.06
2024/08/18 20:06:43,95.55
2024/08/18 20:11:43,16.31
2024/08/18 20:16:43,20.34
2024/08/18 20:21:43,98.51
2024/08/18 20:26:43,60.39
2024/08/18 20:31:43,53.68
2024/08/18 20:36:43,22.02
2024/08/18 20:41:43,31.27
2024/08/18 20:46:43,-1
2024/08/18 20:51:43,83.04
2024/08/18 20:56:43,79.08
2024/08/18 21:01:43,27.98
2024/08/18 21:06:43,28.84
2024/08/18 21:11:43,11.7
2024/08/18 21:16:43,7.5
2024/08/18 21:21:43,7.23
2024/08/18 21:26:43,17.36
2024/08/18 21:31:43,66.32
2024/08/18 21:36:43,69.25
2024/08/18 21:41:43,187.86
2024/08/18 21:46:43,16.34
2024/08/18 21:51:42,46.47
2024/08/18 21:56:42,40.81
2024/08/18 22:01:42,34.25
2024/08/18 22:06:42,44.23
2024/08/18 22:11:42,26.52
2024/08/18 22:16:42,68.49
2024/08/18 22:21:42,38.76
2024/08/18 22:26:42,21.31
2024/08/18 22:31:42,61.27
2024/08/18 22:36:42,50.15
2024/08/18 22:41:42,56.25
2024/08/18 22:46:42,19.8
2024/08/18 22:51:42,136.66
2024/08/18 22:56:42,70.08
2024/08/18 23:01:41,21.21
2024/08/18 23:06:41,58.19
2024/08/18 23:11:41,72
2024/08/18 23:16:41,74
2024/08/18 23:21:41,82.57
2024/08/18 23:26:41,58.75
2024/08/18 23:31:41,143.9
2024/08/18 23:36:41,132.18
2024/08/18 23:41:41,58.23
2024/08/18 23:46:41,67.35
2024/08/18 23:51:41,121.4
2024/08/18 23:56:41,104.92
